Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
301.9,311.3,1366,55.6,57
300.2,311.6,1446,47.3,66
300.4,309.6,1553,43.9,75
300.7,310.8,1597,30.5,38
302.8,312.3,1432,49.0,218
299.1,308.2,1409,46.4,12
304.3,313.5,1416,48.1,167
298.2,307.7,1503,38.3,87
298.6,309.9,1593,37.4,47
297.9,307.7,1537,37.7,15
300.9,310.7,1420,43.0,133
297.0,308.1,1517,41.4,222
298.6,309.3,1677,31.2,180
297.8,307.5,1631,31.3,124
300.7,309.6,1388,51.1,160
300.7,310.3,1458,40.0,207
301.2,310.6,1352,52.0,69
300.1,311.4,1572,36.2,199
298.9,310.2,1362,53.0,185
299.6,309.0,1378,51.9,162
299.2,308.5,1515,39.8,141
297.0,307.8,1579,34.1,94
302.3,310.1,1731,33.4,112
296.9,308.4,1450,46.9,186
298.0,307.8,1623,29.9,24
299.2,310.4,1379,46.8,39
300.1,310.1,1306,64.7,57
303.7,312.8,1488,42.8,54
301.8,310.9,1609,31.7,202
296.4,307.4,1586,35.5,0
300.9,310.7,1468,36.2,208
298.2,308.1,1382,43.5,37
298.9,309.6,1600,33.5,175
297.8,307.3,1555,35.8,190
301.8,311.2,1451,39.4,70
303.9,313.0,1517,36.0,142
296.9,308.1,1440,46.3,64
298.1,308.7,1362,49.6,158
298.7,309.8,1422,40.7,85
300.8,310.8,1564,36.2,31
301.7,311.3,1584,38.8,132
300.5,309.7,1887,24.3,28
304.3,313.6,1585,32.1,202
297.9,309.1,1504,43.0,4
300.9,310.7,1656,30.7,200
300.8,311.9,1621,28.3,211
298.9,310.2,1532,37.7,166
300.7,309.9,1815,27.0,190
300.6,310.1,1297,50.0,130
297.9,309.1,1595,32.0,32
298.0,307.6,1569,35.6,173
298.7,308.6,1297,55.3,148
300.1,310.4,1554,39.4,115
298.3,308.8,1767,27.3,168
302.9,311.2,1467,37.7,73
303.5,311.6,1466,47.0,80
298.5,308.4,1733,26.0,8
296.3,307.4,1465,47.1,215
297.9,307.7,1618,35.9,92
298.8,309.5,1645,32.8,157
298.4,308.3,1318,59.1,22
301.7,311.1,1578,40.5,174
300.1,309.1,1353,58.7,86
298.5,309.3,1623,33.1,109
299.6,310.8,1427,50.4,98
299.4,309.0,1800,24.3,128
299.7,309.2,1685,28.9,179
300.4,309.7,1685,32.3,167
301.3,310.1,1269,56.8,195
296.9,308.0,1546,31.1,11
304.0,313.5,1732,26.2,126
302.1,311.1,1605,37.6,171
295.9,306.6,1412,41.0,109
298.6,309.6,1491,36.9,192
298.3,309.6,1420,44.1,197
297.8,307.5,1448,51.2,107
297.7,309.6,1697,32.2,210
302.2,311.1,1630,34.6,94
301.5,311.2,1700,28.8,39
297.4,308.4,1564,35.0,105
301.4,310.3,1492,41.4,195
297.4,307.9,1557,35.5,174
298.3,309.6,1469,54.8,191
302.1,310.9,1666,30.7,203
303.7,311.9,1332,52.7,66
297.9,309.1,1614,38.1,62
296.3,307.1,1654,29.6,188
297.8,309.0,1675,30.0,110
299.8,309.6,1331,50.2,98
298.1,307.6,1460,46.5,143
298.4,309.3,1496,45.6,129
301.3,311.0,1341,59.3,134
300.8,310.4,1570,35.2,23
297.2,308.6,1864,23.6,103
297.4,308.3,1535,34.6,51
303.1,311.1,1420,55.8,113
297.6,308.7,1475,46.6,54
302.4,310.1,1379,48.9,107
298.2,308.4,1310,61.0,189
297.0,308.1,1355,51.4,76
298.7,309.9,1372,54.7,44
300.2,311.7,1553,41.3,44
300.4,309.5,1525,51.3,4
297.3,308.2,1490,41.0,16
300.4,309.7,1539,37.7,156
300.1,309.4,1434,47.3,127
300.2,311.6,1415,55.8,82
299.7,310.2,1633,36.5,24
300.7,310.0,1672,29.7,176
301.9,311.0,1353,43.8,130
299.3,310.3,1396,47.4,14
303.6,311.8,1627,30.8,104
300.9,311.3,1668,28.9,183
301.3,310.5,1337,52.7,106
302.4,311.7,1495,36.8,215
301.1,310.7,1621,31.0,108
300.1,309.6,1625,38.0,46
298.2,309.1,1651,28.8,186
297.7,309.4,1392,44.1,140
301.3,310.4,1507,39.1,194
298.2,309.0,1562,37.7,36
298.3,307.8,1330,55.4,114
301.1,309.6,1501,36.1,156
300.6,309.4,1410,40.6,99
302.9,312.2,1340,57.8,90
303.7,312.6,1621,38.8,182
303.0,311.2,1592,38.9,188
297.9,307.6,1550,39.0,35
300.6,309.5,1530,40.2,93
298.8,310.1,1574,36.2,181
297.8,307.3,1859,24.0,178
300.8,311.2,1434,39.1,82
297.5,308.4,1685,28.1,15
302.5,311.1,1499,38.8,135
303.4,311.5,1483,43.0,117
298.8,308.8,1555,40.6,61
298.1,308.8,1378,53.5,65
298.3,309.5,1543,49.9,199
299.4,308.6,1541,39.1,109
300.6,310.0,1511,36.9,105
300.0,309.6,1514,44.6,98
302.1,311.0,1351,49.5,196
300.5,311.9,1432,43.1,16
298.9,309.6,1589,34.2,197
300.4,311.8,1367,57.2,10
303.2,312.4,1663,33.7,71
303.2,311.3,1393,52.9,12
298.5,308.8,1332,59.1,115
301.9,310.8,1519,39.0,90
301.4,311.1,1758,25.4,88
298.6,310.1,1444,48.1,39
300.8,310.9,1522,41.7,115
297.9,308.5,1519,34.3,61
298.3,309.5,1521,37.1,84
298.8,310.2,1581,37.5,75
300.4,311.6,1518,36.4,53
297.9,309.0,1530,40.9,42
299.7,309.6,1534,39.1,176
300.6,310.4,1446,49.7,155
298.2,308.7,1361,44.2,0
297.6,309.2,1442,48.1,0
298.8,308.6,1631,32.4,38
300.7,310.8,1619,34.9,57
298.9,308.7,1564,34.1,99
298.0,308.7,1392,53.4,104
303.3,311.7,1539,38.5,221
301.8,310.6,1295,62.3,91
296.7,307.8,1672,32.4,113
300.1,311.4,1660,31.4,38
298.4,308.7,1386,44.9,135
297.2,307.9,1540,37.1,164
303.4,312.2,1580,35.8,90
302.9,312.2,1571,40.6,139
304.2,313.4,1735,28.9,192
302.2,310.8,1438,41.4,66
300.5,309.8,1345,62.7,153
301.8,310.6,1459,40.2,128
301.8,310.2,1609,34.2,217
297.6,308.3,1538,40.2,0
301.4,310.3,1374,47.6,176
301.2,310.9,1597,37.9,164
302.2,311.4,1609,32.1,41
301.9,310.8,1650,29.8,94
296.9,307.9,1441,47.6,60
300.9,312.1,1617,31.0,148
299.8,309.1,1496,44.4,155
298.5,309.3,1421,50.3,124
296.3,307.1,1662,32.9,190
300.9,312.0,1447,41.4,193
298.3,309.3,1401,51.9,14
301.4,310.6,1555,43.3,212
298.5,309.3,1692,26.7,118
295.5,305.9,1380,52.4,202
298.7,308.5,1544,35.2,159
296.6,307.7,1556,37.7,110
298.2,308.6,1433,39.5,7
300.3,311.8,1508,43.1,57
298.6,309.5,1450,44.3,7
301.2,310.7,1568,38.3,49
300.0,309.5,1728,26.0,37
297.0,307.6,1680,35.8,20
298.6,309.2,1542,48.4,42
298.8,308.7,1543,38.2,44
299.4,309.3,1596,31.8,40
300.6,310.3,1648,30.5,217
301.9,311.3,1501,40.8,59
300.2,311.5,1528,36.1,125
300.6,310.7,1440,52.5,200
298.6,309.8,1370,56.0,0
303.1,312.6,1404,40.6,152
302.7,310.6,1501,48.7,4
300.7,309.6,1329,54.3,80
300.4,311.2,1351,62.0,18
300.6,309.5,1492,34.0,144
298.3,307.9,1502,42.0,103
299.7,309.2,1781,29.6,201
296.9,307.8,1544,40.3,150
301.0,311.0,1402,55.3,98
301.7,310.9,1644,32.5,201
297.8,309.7,1341,49.2,208
300.2,311.6,1533,46.4,24
298.4,308.4,1515,40.1,179
302.3,311.8,1574,42.8,215
302.6,312.3,1566,36.6,46
303.6,311.8,1659,34.7,94
303.9,313.1,1425,49.3,199
299.9,309.2,1436,52.0,107
299.7,310.9,1477,40.4,83
300.8,310.3,1494,42.2,35
298.6,309.8,1505,45.7,144
299.1,310.1,1421,41.2,149
302.5,311.9,1265,59.8,119
299.1,310.1,1373,55.6,108
298.9,309.7,1407,48.6,161
298.2,307.8,1578,34.5,127
302.4,310.1,1429,43.7,104
298.1,307.9,1578,35.6,55
297.8,308.9,1530,37.6,106
303.0,312.6,1451,42.1,125
300.8,312.4,1465,43.7,139
297.5,308.6,1514,36.9,134
300.4,309.8,1356,44.4,136
300.9,310.3,1440,47.6,140
298.6,309.8,1842,20.1,142
299.1,310.6,1796,26.0,90
300.1,309.5,1557,40.6,59
300.3,311.5,1445,47.3,40
301.3,310.4,1384,50.1,88
299.3,309.1,1634,36.8,62
297.4,308.8,1473,46.2,167
298.7,308.4,1432,42.8,197
297.4,308.4,1369,50.6,220
300.9,310.7,1658,28.5,18
297.2,308.3,1419,39.7,115
302.3,311.1,1338,53.3,63
302.6,310.5,1542,39.9,184
302.6,310.5,1524,33.7,204
297.1,308.5,1712,32.1,48
297.7,308.7,1474,46.8,188
298.7,309.8,1354,53.3,212
301.8,311.0,1322,53.0,166
297.4,307.9,1606,33.4,176
303.7,312.6,1711,27.6,170
303.7,312.7,1469,48.5,147
299.8,309.4,1555,34.8,122
299.9,309.3,1620,31.1,196
300.1,309.6,1649,33.6,168
299.8,309.6,1526,41.7,85
300.0,309.2,1566,34.4,18
298.2,307.9,1551,34.1,190
298.8,309.6,1523,41.9,165
301.5,310.5,1412,44.1,184
301.7,310.8,1671,31.6,137
303.4,311.7,1406,47.1,213
296.7,308.0,1535,36.8,210
297.5,308.6,1793,26.7,70
301.0,311.2,1467,45.4,36
299.0,308.7,1583,32.5,25
297.6,308.3,1410,47.0,191
298.8,308.6,1707,28.1,103
301.4,310.7,1616,36.5,121
302.9,312.3,1339,52.1,145
299.2,309.1,1345,60.7,191
300.4,311.7,1832,24.2,179
301.5,310.5,1479,34.2,147
298.7,309.8,1475,40.5,59
301.1,310.6,1388,58.5,68
298.0,308.6,1526,41.8,160
302.1,310.8,1596,37.1,43
298.2,307.6,1511,31.0,209
301.4,310.5,1489,43.5,98
299.3,309.0,1734,30.6,154
303.9,312.7,1789,24.4,163
301.3,310.8,1434,39.5,18
303.8,313.1,1394,45.4,36
304.1,313.3,1470,39.9,70
300.8,312.4,1493,39.1,79
303.4,312.0,1748,28.4,200
300.7,310.5,1476,43.1,134
298.8,308.4,1473,41.1,128
302.3,311.8,1487,43.2,206
300.9,311.5,1836,21.8,12
300.5,310.6,1448,46.3,173
298.6,308.8,1566,39.1,36
300.9,311.9,1513,38.0,38
302.3,310.8,1723,26.3,213
299.4,309.3,1448,48.6,44
301.0,311.9,1889,23.5,198
301.2,310.8,1392,52.6,23
303.1,312.7,1353,51.8,97
302.8,312.2,1682,30.9,58
302.3,311.1,1543,37.5,73
297.4,308.6,1635,30.5,159
300.7,311.0,1312,52.1,107
302.4,310.2,1485,45.9,50
297.8,309.2,1295,61.2,12
299.8,311.1,1820,24.9,174
301.7,311.2,1482,43.6,154
301.6,309.9,1746,31.1,83
300.7,311.0,1413,44.3,72
302.0,311.1,1402,47.8,182
302.2,311.3,1758,26.4,4
298.4,308.9,1402,44.8,201
302.3,311.2,1633,36.4,114
304.0,313.3,1294,54.6,102
299.3,308.7,1484,40.5,213
296.4,307.2,1748,25.3,144
302.4,310.1,1520,36.6,97
300.5,309.4,1877,23.8,31
300.5,311.5,1651,36.9,65
299.9,309.8,1625,41.2,109
302.5,310.4,1349,55.1,187
300.2,310.1,1440,51.1,41
302.6,310.6,1549,37.5,199
300.1,309.3,1448,45.8,163
302.2,311.5,1725,34.0,170
297.6,308.6,1389,49.0,34
304.2,313.2,1396,50.5,11
299.9,309.5,1451,39.4,18
300.5,309.7,1560,30.2,139
295.6,306.1,1623,30.9,210
303.8,313.0,1789,23.5,215
297.0,308.1,1362,52.5,213
298.9,310.4,1546,37.7,159
296.6,307.5,1566,35.0,201
300.3,311.6,1339,53.4,123
297.3,307.9,1417,41.8,186
300.8,310.8,1407,45.1,51
298.4,309.5,1344,45.3,122
303.0,312.5,1461,40.2,127
297.5,309.3,1404,43.5,195
299.8,310.1,1553,42.0,177
299.0,310.3,1558,35.4,223
297.6,308.6,1326,62.4,173
298.4,309.7,1419,41.3,159
297.9,307.9,1426,43.6,89
298.2,308.2,1466,42.4,164
301.2,311.0,1567,35.1,64
298.8,308.6,1500,37.1,210
304.1,313.2,1590,43.4,52
302.5,311.1,1571,34.2,201
301.5,310.8,1413,44.6,166
300.3,311.6,1801,23.6,97
303.9,313.0,1483,45.0,78
298.8,310.0,1672,30.4,150
300.2,309.9,1569,31.2,176
303.2,311.5,1336,58.2,2
296.8,308.1,1843,24.2,212
303.7,312.5,1462,46.2,165
300.9,311.1,1471,39.3,91
297.4,309.2,1698,29.4,119
301.8,310.8,1470,37.6,204
296.9,308.0,1497,44.8,57
297.2,308.1,1431,49.7,210
297.7,309.1,1562,36.8,172
301.0,310.7,1517,40.2,171
300.9,311.5,1704,31.3,159
299.0,310.5,1336,56.8,136
297.5,309.3,1732,29.9,32
296.7,307.4,1535,34.6,114
303.9,313.1,1440,41.1,12
298.3,308.3,1597,32.4,69
300.4,309.5,1543,38.9,37
301.0,310.6,1460,53.6,74
298.5,309.3,1471,44.7,119
301.9,311.0,1432,41.5,51
298.1,307.8,1413,54.1,113
301.7,310.6,1303,59.7,42
303.3,311.3,1389,53.9,39
296.6,307.7,1474,52.6,101
300.3,309.9,1540,39.9,203
300.8,311.7,1397,43.5,227
299.6,308.9,1422,53.2,120
300.7,310.1,1376,50.8,75
300.6,309.4,1425,40.3,103
301.9,310.7,1472,47.0,73
301.4,310.4,1639,28.9,94
298.4,308.0,1540,37.8,7
302.7,312.1,1543,37.5,33
295.5,306.1,1650,32.8,67
299.6,308.9,1568,35.3,77
303.5,313.0,1482,38.5,82
300.2,310.2,1438,51.5,7
298.5,308.7,1662,28.3,15
302.5,310.3,1549,40.9,170
300.7,311.8,1441,38.1,34
300.3,309.9,1611,29.0,177
302.8,312.2,1481,40.2,230
299.4,309.1,1207,66.5,66
303.9,312.7,1339,62.3,156
298.8,308.6,1593,35.5,175
300.5,310.5,1403,47.7,24
303.6,311.7,1491,39.8,92
300.3,309.6,1537,37.1,187
302.3,310.1,1688,30.4,115
299.1,308.3,1521,36.5,40
303.7,312.7,1572,37.2,192
298.4,308.6,1527,40.9,96
303.5,312.3,1404,48.6,193
298.9,308.6,1560,32.2,118
300.7,310.7,1314,42.4,198
298.5,309.6,1421,53.6,122
299.9,310.4,1497,47.0,150
299.9,309.2,1548,35.7,97
303.8,312.9,1378,45.6,184
301.9,310.5,1472,39.7,187
301.8,310.7,1461,44.2,49
297.5,308.5,1496,42.2,22
302.5,310.2,1586,32.2,64
300.4,310.4,1286,56.8,46
298.1,307.8,1524,40.8,71
298.0,308.5,1702,26.7,203
300.7,311.7,1635,32.4,213
299.1,308.9,1476,42.7,225
299.8,309.1,1355,56.7,7
298.8,308.7,1591,31.1,68
299.0,308.6,1734,32.4,161
298.8,310.2,1595,33.1,34
303.8,313.0,1514,45.0,113
298.0,308.7,1511,45.8,114
302.5,312.0,1574,42.0,188
297.9,308.8,1681,31.7,94
297.5,308.4,1511,42.8,209
297.5,308.5,1484,44.7,40
298.7,309.8,1530,35.5,0
299.9,309.2,1574,36.5,177
303.8,312.7,1364,49.3,167
297.6,308.7,1408,51.5,4
298.8,309.8,1563,33.7,143
303.7,312.6,1396,44.1,136
302.9,312.3,1515,40.8,183
300.2,309.5,1642,28.8,92
297.1,308.1,1487,34.6,208
298.7,309.5,1673,30.8,141
299.9,309.2,1624,34.6,105
300.3,311.8,1607,33.7,199
300.7,310.6,1609,27.6,108
299.9,309.6,1410,51.2,98
298.4,308.8,1458,40.1,111
300.3,309.9,1509,46.6,125
300.6,310.2,1519,44.6,69
301.5,310.8,1417,49.7,5
297.3,308.3,1411,43.2,63
297.5,309.4,1391,58.2,34
301.7,311.3,1348,51.0,87
300.9,310.8,1790,26.2,191
300.9,310.6,1504,46.4,129
297.7,308.9,1516,33.7,92
302.8,311.0,1436,43.5,47
298.3,308.6,1584,29.3,162
297.6,308.6,1355,46.4,13
298.9,308.2,1686,30.4,53
297.1,307.9,1609,38.9,166
297.2,308.8,1485,47.9,143
298.1,308.8,1434,41.8,93
297.0,307.8,1683,32.3,197
299.0,310.0,1509,38.0,168
297.4,308.6,1461,40.1,126
303.6,312.3,1451,43.4,119
299.3,308.8,1550,45.8,170
300.3,311.8,1567,37.7,180
302.3,311.2,1546,40.0,71
299.7,309.0,1605,33.0,151
300.5,311.6,1454,41.4,108
298.8,309.7,1450,43.1,63
300.4,310.0,1581,30.3,42
304.1,313.6,1382,46.7,134
302.3,311.7,1611,38.6,143
298.6,309.5,1566,38.1,89
298.9,310.1,1484,37.9,73
301.3,310.9,1509,41.7,16
302.4,311.0,1462,48.5,81
303.5,312.0,1761,25.8,105
304.1,313.6,1556,37.4,129
301.0,310.5,1248,61.4,77
301.0,311.2,1511,42.9,26
298.6,309.2,1311,46.6,44
299.1,308.6,1437,41.6,183
300.2,310.1,1619,31.3,38
296.5,307.6,1512,43.6,92
300.1,311.4,1617,39.3,47
299.0,310.2,1516,35.3,102
299.3,308.9,1429,43.0,96
301.7,310.9,1705,31.2,146
298.9,308.7,1438,51.7,64
302.7,310.4,1489,42.7,33
299.1,310.6,1332,48.0,148
300.3,309.3,1391,57.9,204
299.5,309.2,1872,22.6,162
302.4,311.0,1475,47.9,79
299.8,309.5,1495,39.6,10
297.1,308.1,1352,44.4,0
302.0,311.3,1509,39.9,25
299.6,309.0,1648,33.6,70
299.3,308.6,1498,39.5,47
300.7,309.8,1490,38.8,173
300.8,310.3,1526,36.3,205
300.6,311.7,1734,29.9,72
299.9,309.5,1779,26.1,169
300.4,310.1,1457,35.1,193
300.0,309.4,1498,38.5,37
298.2,308.8,1442,47.0,18
300.8,310.7,1572,36.2,167
302.0,310.4,1464,47.2,159
297.0,308.1,1363,45.3,196
299.4,308.7,1553,42.7,128
297.9,309.0,1532,37.6,47
300.9,309.7,1431,41.4,199
301.7,310.2,1686,28.9,59
298.6,309.4,1315,55.5,28
299.8,310.0,1397,48.1,164
298.2,307.9,1785,23.4,181
301.9,310.8,1735,31.5,66
302.5,310.9,1330,56.9,97
302.6,311.4,1738,25.8,128
301.4,310.4,1559,39.4,199
300.3,311.8,1551,37.2,9
304.1,313.3,1452,43.9,182
299.0,308.6,1329,60.5,120
296.3,307.2,1454,42.5,35
297.4,308.4,1620,35.8,215
300.1,309.1,1731,30.4,92
298.7,309.9,1464,38.0,74
300.7,310.8,1724,30.0,76
302.6,310.2,1631,31.0,100
300.8,310.2,1514,40.0,155
297.8,308.4,1622,38.3,134
297.9,309.0,1583,36.7,104
300.4,311.3,1495,51.2,175
301.8,311.1,1543,36.4,120
298.6,309.4,1407,45.1,176
298.6,309.3,1702,27.6,143
298.8,309.3,1450,44.8,63
301.5,311.0,1494,45.3,99
300.2,311.6,1467,40.7,23
299.7,311.2,1352,52.1,176
300.7,310.8,1689,28.9,100
300.5,311.6,1506,36.2,10
300.0,309.3,1364,41.2,104
297.5,308.3,1596,36.8,77
299.6,309.1,1435,48.4,143
297.4,308.6,1411,46.3,138
297.6,308.3,1467,36.7,68
298.9,310.4,1533,44.4,24
303.4,311.8,1693,28.3,175
298.8,309.9,1441,41.6,62
301.9,310.9,1483,37.0,35
299.8,310.0,1460,37.1,169
298.2,307.8,1585,34.6,78
295.7,306.3,1347,50.4,46
303.8,312.9,1815,27.8,66
298.5,308.6,1384,54.4,44
298.3,308.0,1361,56.9,81
298.7,310.1,1506,50.7,53
296.1,307.2,1615,30.8,18
301.6,310.9,1532,43.6,15
298.4,308.8,1352,56.7,24
302.5,310.3,1710,27.3,186
302.0,311.0,1686,32.5,25
300.8,310.8,1520,38.0,45
298.4,308.5,1636,35.7,107
298.8,309.1,1559,34.7,95
302.0,310.0,1664,28.6,190
300.8,310.2,1850,22.8,33
297.2,308.3,1429,42.0,6
301.3,311.1,1624,40.9,0
298.3,308.5,1629,37.1,170
301.2,310.9,1467,37.1,153
300.6,311.0,1563,40.7,87
299.9,310.4,1367,53.3,201
302.1,311.2,1519,39.3,155
300.7,310.5,1536,47.4,192
299.3,309.3,1523,37.9,204
302.1,310.1,1615,29.9,176
301.4,310.5,1647,33.3,85
300.2,311.5,1639,31.1,31
297.4,308.9,1323,57.3,163
300.9,310.3,1416,50.9,152
302.0,311.1,1373,55.7,157
298.1,308.4,1592,38.2,211
297.4,308.6,1469,42.6,80
296.9,308.1,1741,28.8,60
298.8,310.3,1553,36.8,97
300.8,311.7,1426,45.5,16
300.7,310.6,1288,47.2,216
298.8,308.6,1524,37.7,170
295.8,306.3,1337,54.6,87
300.7,311.7,1504,36.9,229
300.7,311.1,1373,49.9,96
301.4,311.0,1486,36.5,91
297.7,307.2,1668,32.7,31
301.0,310.0,1480,43.5,21
303.6,312.7,1403,46.2,57
299.0,308.9,1511,35.9,16
302.3,311.3,1682,34.4,127
300.3,311.7,1635,31.8,156
297.0,308.1,1489,44.1,96
302.2,311.6,1872,20.4,202
298.1,308.8,1628,37.6,12
304.2,313.4,1740,28.2,78
300.6,309.4,1654,32.8,57
303.7,312.4,1316,59.3,137
301.4,311.1,1469,36.9,133
300.6,311.6,1455,48.0,203
298.3,309.2,1359,51.4,21
298.0,307.8,1386,57.3,147
297.6,308.5,1431,52.6,26
298.0,307.5,1427,45.1,95
297.9,307.5,1561,37.7,16
299.1,308.2,1568,33.3,123
297.2,308.6,1486,46.6,98
303.3,312.6,1827,24.2,132
301.8,310.7,1429,47.9,53
296.6,307.4,1368,45.1,185
301.9,311.0,1642,33.1,126
300.9,312.1,1711,28.8,74
302.3,311.8,1435,44.8,98
299.1,310.3,1449,40.7,40
297.2,307.9,1469,48.2,144
302.3,311.7,1423,44.6,93
298.7,309.0,1565,35.1,152
298.1,308.9,1417,39.2,65
303.5,312.9,1544,36.9,87
301.8,310.9,1881,20.9,23
301.8,310.8,1736,26.5,56
297.5,308.4,1528,39.9,160
298.5,309.7,1557,37.7,86
300.1,309.1,1551,33.7,214
299.3,308.9,1858,24.7,101
299.0,310.2,1477,37.9,60
297.2,308.5,1446,43.7,171
296.8,307.4,1472,43.9,30
300.7,309.6,1733,24.8,85
300.2,309.6,1491,41.8,41
299.6,310.1,1553,38.0,83
302.4,311.2,1404,52.0,57
299.7,309.1,1576,36.4,149
300.6,310.5,1644,33.8,148
299.7,309.6,1321,53.4,166
297.0,307.9,1479,39.2,151
303.5,312.5,1418,42.2,170
297.5,308.7,1363,53.6,194
298.9,308.7,1402,49.8,167
303.4,312.3,1540,38.7,96
298.6,309.6,1390,50.3,196
297.3,308.7,1438,46.2,16
302.7,311.0,1694,29.8,150
297.4,308.5,1399,61.5,61
300.4,309.7,1679,30.1,136
297.0,307.8,1385,56.4,202
297.5,308.9,1466,43.0,15
301.0,311.2,1363,46.3,62
297.6,308.4,1407,55.2,86
299.3,310.5,1404,47.5,12
297.5,308.9,1469,44.0,185
303.5,312.4,1606,31.7,22
301.0,310.9,1578,38.4,49
297.2,308.1,1689,31.2,145
298.0,308.0,1479,50.7,70
303.8,312.5,1525,38.0,209
303.0,311.3,1793,29.3,157
297.1,308.4,1359,46.6,176
298.7,308.4,1694,28.7,195
302.4,311.2,1330,58.6,201
298.0,307.6,1509,41.6,33
302.5,310.2,1307,54.0,86
298.0,308.7,1430,51.9,47
300.2,311.5,1547,40.9,66
301.9,310.4,1373,48.0,73
303.8,313.2,1732,29.6,147
298.6,309.7,1703,26.1,5
298.8,309.9,1739,30.6,83
303.7,312.5,1670,26.1,139
297.9,309.1,1543,36.6,20
297.8,308.9,1518,40.4,2
301.0,310.9,1515,37.3,6
298.3,308.6,1589,37.1,137
297.3,308.0,1420,46.5,73
300.2,311.4,1483,44.4,141
300.5,309.4,1360,46.2,93
303.7,313.1,1423,41.2,124
301.9,310.9,1309,48.0,124
298.9,310.2,1411,46.5,202
299.0,309.0,1469,40.1,13
302.4,310.2,1351,45.1,168
300.4,310.2,1613,36.9,231
298.1,308.9,1367,41.9,113
301.0,310.5,1378,44.4,83
297.4,308.7,1402,40.2,114
297.9,309.0,1379,47.3,28
299.7,309.2,1645,30.8,137
298.4,309.3,1549,40.8,139
298.5,308.0,1363,49.2,149
297.4,308.9,1809,23.8,131
300.4,309.7,1500,35.2,112
296.4,307.3,1540,37.4,75
296.9,307.9,1626,29.9,177
298.3,308.6,1548,40.3,140
300.8,311.2,1612,32.5,143
300.8,309.6,1498,45.8,47
297.4,309.0,1505,39.2,209
299.6,309.2,1422,39.8,219
300.4,309.7,1440,42.8,104
300.4,311.9,1438,46.7,41
297.9,307.8,1373,50.2,130
301.2,310.7,1747,27.3,35
303.5,312.0,1366,54.5,30
297.7,308.1,1469,48.8,183
302.4,312.1,1492,47.7,7
298.9,310.0,1456,43.8,15
300.7,312.4,1470,38.6,56
302.9,312.4,1383,51.4,160
301.0,310.9,1428,45.3,47
298.6,310.1,1439,49.9,17
298.1,308.1,1791,27.3,63
298.1,308.9,1459,50.3,115
303.7,312.3,1349,51.0,105
303.8,312.6,1768,23.9,149
298.5,308.7,1347,48.5,33
297.5,308.5,1393,46.6,56
299.7,309.1,1603,38.5,170
299.7,309.2,1620,30.0,168
298.4,309.7,1581,34.6,150
301.8,311.0,1393,49.5,168
297.7,308.8,1354,50.2,103
300.6,310.2,1318,51.0,8
300.4,310.2,1671,30.5,234
302.3,311.2,1549,40.6,66
297.4,308.8,1651,34.1,163
298.9,308.9,1679,28.7,181
299.3,308.6,1314,48.2,65
301.0,311.3,1342,50.9,60
298.2,307.9,1429,49.4,141
301.8,310.6,1552,35.9,97
301.4,310.4,1543,40.9,190
300.5,311.2,1551,36.6,205
301.2,310.9,1460,46.7,166
302.3,312.0,1746,28.1,167
298.6,308.2,1555,36.8,36
295.6,306.2,1823,25.8,29
297.5,308.5,1340,57.4,143
301.8,310.3,1465,46.5,60
303.6,312.7,1429,47.7,198
298.7,308.5,1469,39.9,67
301.3,310.6,1510,38.5,47
303.7,312.4,1404,46.6,119
297.7,309.7,1591,37.7,196
301.2,310.3,1451,39.7,123
298.0,307.6,1844,23.8,44
300.3,310.3,1704,29.5,0
300.8,310.9,1522,46.2,56
300.0,309.3,1887,22.6,120
297.9,308.9,1547,44.0,72
299.3,309.2,1440,37.5,111
302.3,311.0,1561,37.2,180
299.3,309.1,1385,45.6,34
299.1,310.4,1428,46.9,87
297.7,308.4,1738,27.7,96
300.1,309.2,1438,51.0,211
297.5,308.7,1352,53.0,171
296.3,307.2,1424,42.0,196
299.2,310.5,1384,48.7,93
299.8,309.1,1578,42.1,191
297.4,309.3,1499,36.8,88
298.8,309.9,1466,44.6,66
298.4,308.1,1598,32.7,94
300.8,309.7,1519,39.7,16
300.6,310.4,1401,42.6,114
298.0,308.1,1587,32.3,30
299.8,309.5,1420,46.7,136
298.5,309.5,1366,61.9,130
300.2,310.3,1478,38.1,45
302.5,311.2,1545,40.1,165
300.8,309.6,1680,28.7,22
304.1,313.3,1725,28.3,177
297.2,308.3,1693,28.0,188
298.2,308.9,1414,44.3,68
297.6,308.3,1640,30.9,79
301.3,310.1,1531,41.6,9
300.9,310.8,1729,30.2,53
302.4,311.9,1422,46.4,194
297.4,308.5,1486,48.6,75
303.0,311.2,1735,26.1,194
300.7,311.1,1688,30.7,161
299.2,308.4,1386,54.1,26
299.0,310.3,1483,39.2,153
298.4,308.2,1478,43.5,206
301.3,310.8,1428,55.2,88
300.8,309.7,1751,27.9,183
299.7,308.9,1478,41.0,87
300.6,309.3,1409,38.7,115
300.5,309.7,1341,50.9,137
301.0,311.2,1412,42.1,64
297.2,308.6,1636,31.3,192
298.0,308.6,1453,44.1,165
301.2,310.4,1381,49.8,115
301.5,310.6,1453,44.0,208
298.2,308.4,1379,43.1,65
298.6,310.0,1541,36.9,12
301.8,309.8,1546,39.8,121
